url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
虚拟仿真服装数字实验室建设项目采购的合同,中标,合同,虚拟仿真服装数字实验室建设项目采购的合同,,,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,,,,绍兴东致信息工程有限公司 ,中标人     18966097107 ,0.0,2022-09-26,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/363150794/b2,地址浙江省绍兴市柯桥区漓渚镇福漓公路兰花大厦402室,49 次,"1,290.53 万",25 家
浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同,中标,合同,浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同,,,虚拟仿真实训基地建设项目,0.0,浙江特殊教育职业学院,学校,,,,江苏一鼎堂软件科技有限公司 ,"中标人     18072883089 ,中标人     18667122369 ,闵**     13506763566 ,闵**     025-52171471 ,林**     13282199206 ",0.0,2022-09-26,浙江,,,,,https://www.zhiliaobiaoxun.com/content/363080968/b2,地址南京市建邺区茶亭东街79号2-1-22，2-1-23,106 次,"3,367.78 万",52 家
浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同公告,中标,合同,浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同公告,,CTZB-2022070555,虚拟仿真实训基地建设项目,2156000.0,浙江特殊教育职业学院,学校,采购人-18067952166,浙江省成套招标代理有限公司,,江苏一鼎堂软件科技有限公司 ,"中标人     18072883089 ,中标人     18667122369 ,闵**     13506763566 ,闵**     025-52171471 ,林**     13282199206 ",2156000.0,2022-09-26,浙江,,,,,https://www.zhiliaobiaoxun.com/content/363031240/b2,地址南京市建邺区茶亭东街79号2-1-22，2-1-23,106 次,"3,367.78 万",52 家
虚拟仿真服装数字实验室建设项目采购的合同公告,中标,合同,虚拟仿真服装数字实验室建设项目采购的合同公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,684970.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,,绍兴东致信息工程有限公司 ,中标人     18966097107 ,684970.0,2022-09-26,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/363125950/b2,地址浙江省绍兴市柯桥区漓渚镇福漓公路兰花大厦402室,49 次,"1,290.53 万",25 家
杭州师范大学思想政治理论课沉浸式虚拟仿真实验室建设项目履约验收公告,中标,验收公告,杭州师范大学思想政治理论课沉浸式虚拟仿真实验室建设项目履约验收公告,,HZNU-2021146,沉浸式虚拟仿真实验室建设项目,790000.0,杭州师范大学,学校,张*-0571-28865850,,,青岛同创信息科技有限公司 ,"中标人     18653207236 ,许*     18561583482 ,庞**     0536-68982458 ,魏**     0532-68982458 ,魏**     18254205997 ",688340.0,2022-09-23,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/362345080/b2,地址青岛市李沧区郑佛路17号综合楼306室,69 次,"7,086.17 万",31 家
东阳市技术学校机电设备采购项目的合同公告,中标,合同,东阳市技术学校机电设备采购项目的合同公告,,DYCG2022-A077,"电气自动化虚拟仿真系统,机床电气控制线路排故实训平台,机电设备,电工技能与实验仿真教学软件",294800.0,东阳市技术学校,学校,张*-0579-86389704,金华市公共资源交易中心东阳分中心,,浙江新工科教育科技有限公司 ,"中标人     18069897089 ,中标人     15867194148 ",294800.0,2022-09-23,浙江,金华,,,,https://www.zhiliaobiaoxun.com/content/362276842/b2,地址浙江省杭州市余杭区闲林街道嘉企路5号4号楼3楼,18 次,463.91 万,10 家
实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同,中标,合同,实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同,,,"氟硅钴产业动画演示虚拟仿真项目,实验安全教育",0.0,衢州学院,学校,,,,杭州百子尖科技股份有限公司 ,"中标人     13732296098 ,中标人     15257188384 ,葛*     15068877863 ",0.0,2022-09-21,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/362124780/b2,地址浙江省杭州市余杭区余杭街道文一西路1818-2号11幢902室,25 次,"2,545.44 万",15 家
实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同公告,中标,合同,实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同公告,,衢院招2022-40,"氟硅钴产业动画演示虚拟仿真项目,实验室安全虚拟现实3D培训考试系统,实验安全教育,实验室安全VR系统,HSE双重预防体系",790000.0,衢州学院,学校,采购人-13587037182,,,杭州百子尖科技股份有限公司 ,"中标人     13732296098 ,中标人     15257188384 ,葛*     15068877863 ",790000.0,2022-09-21,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/362021624/b2,地址浙江省杭州市余杭区余杭街道文一西路1818-2号11幢902室,25 次,"2,545.44 万",15 家
杭州师范大学虚拟仿真建设履约验收公告,中标,验收公告,杭州师范大学虚拟仿真建设履约验收公告,,HZNU-2021094,虚拟仿真建设,1500000.0,杭州师范大学,学校,赵*-0571-28865077,,,广东一晨科技有限公司 ,"中标人     0769-81271530 ,中标人     13527912275 ,中标人     13532621775 ,中标人     15899681210 ",1395000.0,2022-09-20,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/362019957/b2,地址广东省东莞市松山湖园区学府路1号11栋409室,71 次,8.60 亿,37 家
浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同,中标,合同,浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同,,,三维数字化技术虚拟仿真VR模具拆装系统项目,0.0,浙江工商职业技术学院,学校,,,,宁波拓固信息科技有限公司 ,"中标人     13586538080 ,中标人     13008920031 ,中标人     13819811958 ",0.0,2022-09-20,浙江,,,,,https://www.zhiliaobiaoxun.com/content/361826382/b2,地址宁波市江北区同济路199号3-3-13室,25 次,875.79 万,5 家
浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同公告,中标,合同,浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同公告,,NBJX2022087G-1,"三维数字化技术虚拟仿真VR模具拆装系统项目,VR眼镜套装,智慧一体机,虚拟现实教学平台,VR虚拟现实设备,中央空调,可上下自动调节讲台,模具拆卸与组装仿真软件",789900.0,浙江工商职业技术学院,学校,采购人-13600621355,宁波建兴招标有限公司,,宁波拓固信息科技有限公司 ,"中标人     13586538080 ,中标人     13008920031 ,中标人     13819811958 ",789900.0,2022-09-20,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361793732/b2,地址宁波市江北区同济路199号3-3-13室,25 次,875.79 万,5 家
宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同,中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同,,,虚拟仿真基地管理及资源共享平台采购与安装项目,0.0,宁波第二技师学院,学校,,,,厦门凤凰创壹软件有限公司 ,"中标人     18850181570 ,中标人     15605558805 ,中标人     15679210505 ,中标人     15396258728 ,中标人     13779952446 ",0.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361800980/b2,地址厦门市软件园二期观日路26号508单元,202 次,1.92 亿,122 家
宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同公告,中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同公告,,CBNB-20223237G磋,虚拟仿真基地管理及资源共享平台采购与安装项目,899500.0,宁波第二技师学院,学校,杜**-0574-87459959,宁波中基国际招标有限公司,,厦门凤凰创壹软件有限公司 ,"中标人     18850181570 ,中标人     15605558805 ,中标人     15679210505 ,中标人     15396258728 ,中标人     13779952446 ",899500.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361736724/b2,地址厦门市软件园二期观日路26号508单元,202 次,1.92 亿,122 家
